created,modified,id,year,event,user,is_guest,campus_code,institution_code,data_source
2025-07-09 19:29:35.151501+00:00,2025-07-09 19:29:35.151504+00:00,949471,2025,click_campus_pin,060ddb14-6c67-4fd6-9147-bc3122ee89a3,False,11001_JP_750,11001_JP_750,postgresql
2025-07-09 19:27:41.944614+00:00,2025-07-09 19:27:41.944617+00:00,949470,2025,click_campus_pin,19a9154a-7acf-48f7-92f5-808171e3e01b,False,311001000506,311001000506,postgresql
2025-07-09 19:27:35.995680+00:00,2025-07-09 19:27:35.995682+00:00,949469,2025,click_campus_pin,19a9154a-7acf-48f7-92f5-808171e3e01b,False,11001_JP_628,11001_JP_628,postgresql
2025-07-09 19:27:30.388351+00:00,2025-07-09 19:27:30.388354+00:00,949468,2025,click_campus_pin,19a9154a-7acf-48f7-92f5-808171e3e01b,False,311001091994,311001091994,postgresql
2025-07-09 19:27:22.774276+00:00,2025-07-09 19:27:22.774280+00:00,949467,2025,click_campus_pin,19a9154a-7acf-48f7-92f5-808171e3e01b,False,11001_JP_645,11001_JP_645,postgresql
2025-07-09 19:14:52.205067+00:00,2025-07-09 19:14:52.205069+00:00,949453,2025,click_campus_pin,19a9154a-7acf-48f7-92f5-808171e3e01b,False,11001_P30_1,11001_P30,postgresql
2025-07-09 19:14:48.325513+00:00,2025-07-09 19:14:48.325515+00:00,949452,2025,click_campus_pin,19a9154a-7acf-48f7-92f5-808171e3e01b,False,11001_JP_743,11001_JP_743,postgresql
2025-07-09 19:14:22.690724+00:00,2025-07-09 19:14:22.690726+00:00,949451,2025,click_campus_pin,19a9154a-7acf-48f7-92f5-808171e3e01b,False,11001_P58_1,11001_P58,postgresql
2025-07-09 19:05:54.861140+00:00,2025-07-09 19:05:54.861141+00:00,949450,2025,click_campus_pin,19a9154a-7acf-48f7-92f5-808171e3e01b,False,11001_P57_1,11001_P57,postgresql
2025-07-09 19:05:45.928441+00:00,2025-07-09 19:05:45.928478+00:00,949449,2025,click_campus_pin,19a9154a-7acf-48f7-92f5-808171e3e01b,False,11001_JP_941,11001_JP_941,postgresql
2025-07-09 19:05:36.145183+00:00,2025-07-09 19:05:36.145185+00:00,949448,2025,click_campus_pin,19a9154a-7acf-48f7-92f5-808171e3e01b,False,11001_JP_940,11001_JP_940,postgresql
2025-07-09 19:05:19.642841+00:00,2025-07-09 19:05:19.642843+00:00,949447,2025,click_campus_pin,19a9154a-7acf-48f7-92f5-808171e3e01b,False,1100100133273,1100100133273,postgresql
2025-07-09 18:57:07.548128+00:00,2025-07-09 18:57:07.548129+00:00,949446,2025,click_campus_pin,060ddb14-6c67-4fd6-9147-bc3122ee89a3,False,11001_JP_656,11001_JP_656,postgresql
2025-07-09 18:50:47.767899+00:00,2025-07-09 18:50:47.767900+00:00,949445,2025,click_campus_pin,5c678dac-e04b-446b-848a-ebd82c855076,False,111001046914,111001065234,postgresql
2025-07-09 18:50:30.876348+00:00,2025-07-09 18:50:30.876350+00:00,949444,2025,click_campus_pin,5c678dac-e04b-446b-848a-ebd82c855076,False,1100100136157,1100100136157,postgresql
2025-07-09 18:50:14.935722+00:00,2025-07-09 18:50:14.935726+00:00,949443,2025,click_campus_pin,5c678dac-e04b-446b-848a-ebd82c855076,False,1100100135529,1100100135529,postgresql
2025-07-09 18:50:06.625078+00:00,2025-07-09 18:50:06.625079+00:00,949442,2025,click_campus_pin,5c678dac-e04b-446b-848a-ebd82c855076,False,1100100135610,1100100135610,postgresql
2025-07-09 18:49:56.455664+00:00,2025-07-09 18:49:56.455666+00:00,949441,2025,click_campus_pin,5c678dac-e04b-446b-848a-ebd82c855076,False,1100100135637,1100100135637,postgresql
2025-07-09 18:49:51.292980+00:00,2025-07-09 18:49:51.292982+00:00,949440,2025,click_campus_pin,5c678dac-e04b-446b-848a-ebd82c855076,False,1100100012504,1100100012504,postgresql
2025-07-09 18:46:22.193196+00:00,2025-07-09 18:46:22.193198+00:00,949439,2025,click_campus_pin,217bd927-48f9-49f0-a3b9-00b29f0dd049,False,311001096953,311001096953,postgresql
2025-07-09 18:38:25.653298+00:00,2025-07-09 18:38:25.653299+00:00,949438,2025,click_campus_pin,217bd927-48f9-49f0-a3b9-00b29f0dd049,False,11001_JP_168,11001_JP_168,postgresql
2025-07-09 18:35:01.734155+00:00,2025-07-09 18:35:01.734158+00:00,949437,2025,click_campus_card,217bd927-48f9-49f0-a3b9-00b29f0dd049,False,11001_JP_131,11001_JP_131,postgresql
2025-07-09 18:34:51.389373+00:00,2025-07-09 18:34:51.389376+00:00,949436,2025,click_campus_pin,217bd927-48f9-49f0-a3b9-00b29f0dd049,False,11001_JP_131,11001_JP_131,postgresql
2025-07-09 18:34:38.295507+00:00,2025-07-09 18:34:38.295510+00:00,949435,2025,click_campus_pin,217bd927-48f9-49f0-a3b9-00b29f0dd049,False,110011126386,110011126386,postgresql
